"","YEAR","id2","EEZgrid","START_LONGITUDE","START_LATITUDE","S"
"387","1993",62,"1 g561",-160.363186550199,54.5930450176326,0.469
"388","1996",62,"1 g561",-160.363186550199,54.5930450176326,0.164
"389","1999",62,"1 g561",-160.363186550199,54.5930450176326,0.523
"390","2001",62,"1 g561",-160.363186550199,54.5930450176326,0.287
"391","2003",62,"1 g561",-160.363186550199,54.5930450176326,0.523
"392","2005",62,"1 g561",-160.363186550199,54.5930450176326,0.348
"393","2007",62,"1 g561",-160.363186550199,54.5930450176326,0.334
"394","2009",62,"1 g561",-160.363186550199,54.5930450176326,0.416
"395","2011",62,"1 g561",-160.363186550199,54.5930450176326,0.497
"396","2013",62,"1 g561",-160.363186550199,54.5930450176326,0.435
"397","2015",62,"1 g561",-160.363186550199,54.5930450176326,0.571
"398","2017",62,"1 g561",-160.363186550199,54.5930450176326,0.497
"399","1990",77,"1 g532",-160.402097402299,55.3415877584873,0.506
"400","1993",77,"1 g532",-160.402097402299,55.3415877584873,0.626
"401","1996",77,"1 g532",-160.402097402299,55.3415877584873,0.602
"402","1999",77,"1 g532",-160.402097402299,55.3415877584873,0.604
"403","2001",77,"1 g532",-160.402097402299,55.3415877584873,0.545
"404","2003",77,"1 g532",-160.402097402299,55.3415877584873,0.664
"405","2005",77,"1 g532",-160.402097402299,55.3415877584873,0.684
"406","2007",77,"1 g532",-160.402097402299,55.3415877584873,0.652
"407","2009",77,"1 g532",-160.402097402299,55.3415877584873,0.673
"408","2011",77,"1 g532",-160.402097402299,55.3415877584873,0.661
"409","2013",77,"1 g532",-160.402097402299,55.3415877584873,0.583
"410","2015",77,"1 g532",-160.402097402299,55.3415877584873,0.701
"411","2017",77,"1 g532",-160.402097402299,55.3415877584873,0.639
"412","1990",80,"1 g535",-155.785954565381,55.6875261120951,0.031
"413","1993",80,"1 g535",-155.785954565381,55.6875261120951,0.186
"414","1996",80,"1 g535",-155.785954565381,55.6875261120951,0.142
"415","1999",80,"1 g535",-155.785954565381,55.6875261120951,0.072
"416","2001",80,"1 g535",-155.785954565381,55.6875261120951,0.273
"417","2003",80,"1 g535",-155.785954565381,55.6875261120951,0.352
"418","2005",80,"1 g535",-155.785954565381,55.6875261120951,0.095
"419","2007",80,"1 g535",-155.785954565381,55.6875261120951,0.242
"420","2009",80,"1 g535",-155.785954565381,55.6875261120951,0.155
"421","2011",80,"1 g535",-155.785954565381,55.6875261120951,0.305
"422","2013",80,"1 g535",-155.785954565381,55.6875261120951,0.321
"423","2015",80,"1 g535",-155.785954565381,55.6875261120951,0.252
"424","2017",80,"1 g535",-155.785954565381,55.6875261120951,0.364
"425","2001",65,"1 g564",-155.721975489706,54.7916109311662,0.002
"426","2005",65,"1 g564",-155.721975489706,54.7916109311662,0.008
"427","2007",65,"1 g564",-155.721975489706,54.7916109311662,0.011
"428","2011",65,"1 g564",-155.721975489706,54.7916109311662,0
"429","2013",65,"1 g564",-155.721975489706,54.7916109311662,0.01
"430","1990",96,"1 g506",-155.847916761579,56.58556693901,0.12
"431","1993",96,"1 g506",-155.847916761579,56.58556693901,0.267
"432","1996",96,"1 g506",-155.847916761579,56.58556693901,0.216
"433","1999",96,"1 g506",-155.847916761579,56.58556693901,0.137
"434","2001",96,"1 g506",-155.847916761579,56.58556693901,0.274
"435","2003",96,"1 g506",-155.847916761579,56.58556693901,0.381
"436","2005",96,"1 g506",-155.847916761579,56.58556693901,0.341
"437","2007",96,"1 g506",-155.847916761579,56.58556693901,0.341
"438","2009",96,"1 g506",-155.847916761579,56.58556693901,0.469
"439","2011",96,"1 g506",-155.847916761579,56.58556693901,0.439
"440","2013",96,"1 g506",-155.847916761579,56.58556693901,0.523
"441","2015",96,"1 g506",-155.847916761579,56.58556693901,0.502
"442","2017",96,"1 g506",-155.847916761579,56.58556693901,0.333
"443","1993",114,"1 g477",-155.665572222807,57.3453027675954,0.242
"444","1996",114,"1 g477",-155.665572222807,57.3453027675954,0.127
"445","1999",114,"1 g477",-155.665572222807,57.3453027675954,0.349
"446","2001",114,"1 g477",-155.665572222807,57.3453027675954,0.267
"447","2003",114,"1 g477",-155.665572222807,57.3453027675954,0.296
"448","2005",114,"1 g477",-155.665572222807,57.3453027675954,0.479
"449","2007",114,"1 g477",-155.665572222807,57.3453027675954,0.277
"450","2009",114,"1 g477",-155.665572222807,57.3453027675954,0.406
"451","2011",114,"1 g477",-155.665572222807,57.3453027675954,0.459
"452","2013",114,"1 g477",-155.665572222807,57.3453027675954,0.376
"453","2015",114,"1 g477",-155.665572222807,57.3453027675954,0.67
"454","2017",114,"1 g477",-155.665572222807,57.3453027675954,0.309
"455","1990",115,"1 g478",-154.491534715295,57.598428993601,0.105
"456","1993",115,"1 g478",-154.491534715295,57.598428993601,0.288
"457","1996",115,"1 g478",-154.491534715295,57.598428993601,0.245
"458","1999",115,"1 g478",-154.491534715295,57.598428993601,0.15
"459","2001",115,"1 g478",-154.491534715295,57.598428993601,0.173
