"","UniqueID","YEAR","id","EEZ_grid","GEAR_DEPTH","GEAR_TEMPERATURE","START_LONGITUDE","START_LATITUDE","PHpa.fit","PHpa.se","PHpa.low","PHpa.hi","PHcpueFit","PHcpueSE","PHcpueLow","PHcpueHi","PHpredBio","PHstdBio","ATFpa.fit","ATFpa.se","ATFpa.low","ATFpa.hi","ATFcpueFit","ATFcpueSE","ATFcpueLow","ATFcpueHi","ATFpredBio","ATFstdBio","SpatOver"
"61","116_1996","1996",116,"1 g479",119.888888888889,5.8,-152.315925218051,57.477297906767,0.615990973719155,0.0393742989283004,0.693164599618624,0.538817347819686,4.55425081096368,0.0828414439571556,4.7166200411197,4.39188158080766,2.80537739160677,0.41098535399733,0.987090376679928,0.00302693484326758,0.993023168972732,0.981157584387123,9.00072808246086,0.0887014714164622,9.17458296643712,8.82687319848459,8.88453207330989,0.866347313113081,0.356
"62","116_1999","1999",116,"1 g479",92.7142857142857,5.74285714285714,-152.315925218051,57.477297906767,0.856409937738312,0.0220552322642699,0.899638192976281,0.813181682500343,5.24496596284793,0.0808376897070633,5.40340783467377,5.08652409102208,4.49184097368216,0.658050805639072,0.973057665387645,0.00614240494539276,0.985096779080615,0.961018551694675,8.26838648511597,0.0912712429071242,8.44727812121393,8.089494849018,8.0456168497297,0.784543123102701,0.516
"63","116_2001","2001",116,"1 g479",84,7.11111111111111,-152.315925218051,57.477297906767,0.835924226726856,0.0265083540210635,0.88788060060814,0.783967852845571,5.45825000098682,0.083741908196638,5.62238414105223,5.29411586092141,4.56268341135677,0.66842916129733,0.886261909092915,0.0228464724074867,0.931040995011588,0.841482823174241,7.68256009127606,0.101146149771408,7.88080654482802,7.4843136377241,6.80876037321536,0.663934938418022,0.444
"64","116_2003","2003",116,"1 g479",101.466666666667,6.97333333333333,-152.315925218051,57.477297906767,0.829848702801477,0.0245889320849834,0.878043009688044,0.781654395914909,5.33475086577392,0.0758461845946738,5.48340938757948,5.18609234396836,4.42703608573154,0.648556945777356,0.976387973379796,0.00513256149369577,0.986447793907439,0.966328152852152,8.82177613272354,0.0882428996915697,8.99473221611902,8.64882004932806,8.61347611984019,0.839916140930448,0.545
"65","116_2005","2005",116,"1 g479",85.92,7.18,-152.315925218051,57.477297906767,0.89660684175085,0.0165262451106773,0.928998282167778,0.864215401333923,5.78576436725358,0.0764319917891584,5.93557107116033,5.63595766334683,5.18755591643784,0.759972441168441,0.975109557125842,0.00575510318859118,0.986389559375481,0.963829554876203,8.17131398849719,0.0896091791357041,8.34694797960317,7.99567999739121,7.96792636445969,0.776967378807701,0.59
"66","116_2007","2007",116,"1 g479",68.5555555555556,6.10555555555556,-152.315925218051,57.477297906767,0.952809900120672,0.00866700932688486,0.969797238401366,0.935822561839978,6.17864421872459,0.0728704633751787,6.32147032693994,6.03581811050924,5.88707338092414,0.862451142832375,0.853160782453801,0.0261237086600349,0.904363251427469,0.801958313480133,7.30643656176536,0.0914299437327478,7.48563925148154,7.12723387204917,6.23356513398479,0.60784657654246,0.524
"67","116_2009","2009",116,"1 g479",86.9375,5.84375,-152.315925218051,57.477297906767,0.90924029155565,0.0146240802012181,0.937903488750038,0.880577094361263,5.81929831979995,0.0748607445347997,5.96602537908816,5.67257126051174,5.29114050094421,0.77514749293131,0.97263521838745,0.00605038020596034,0.984493963591132,0.960776473183768,8.21016991397616,0.0881034026125646,8.38285258309679,8.03748724485554,7.98550040727828,0.778681056540055,0.604
"68","116_2011","2011",116,"1 g479",76.3157894736842,6.08421052631579,-152.315925218051,57.477297906767,0.952389366265258,0.0084790492085951,0.969008302714104,0.935770429816412,5.97095562088838,0.0727712168284554,6.11358720587215,5.82832403590461,5.68667463977586,0.833092901114931,0.956826143321464,0.00978538993512127,0.976005507594302,0.937646779048627,7.66045287361752,0.0890479681151746,7.83498689112326,7.48591885611178,7.32972157915928,0.714734838433187,0.595
"69","116_2013","2013",116,"1 g479",102.888888888889,5.9,-152.315925218051,57.477297906767,0.869804666421759,0.0209841002482422,0.910933502908313,0.828675829935204,5.03399643069216,0.0801271955276088,5.19104573392628,4.87694712745805,4.37859358616652,0.641460161618543,0.98295359569514,0.00409188896480896,0.990973698066165,0.974933493324114,8.27707080321884,0.0928340551540396,8.45902555132076,8.09511605511693,8.13597650784722,0.793354262100004,0.509
"70","116_2015","2015",116,"1 g479",75.3636363636364,7.65454545454545,-152.315925218051,57.477297906767,0.977784611750247,0.00426951094708258,0.986152853206529,0.969416370293965,6.37212157993063,0.0732318158654663,6.51565593902694,6.22858722083431,6.23056242505784,0.912771989795728,0.903731264704895,0.0192278624005884,0.941417875010049,0.866044654399742,7.33369775375823,0.0922882047563344,7.51458263508064,7.15281287243581,6.62769194596737,0.646278617956627,0.59
